Asset,Quantity
ACU,17.15266
ADA,9.1e-07
ADA.S,46.41471054
ADI,3.87174
ALGO,141.97695
ASTER,33.4239
ATOM,151.96530311
ATOM21.S,11.04921112
AVAX,1.2390582242
AZTEC,230.24
BABY,31.58275
BAND,19.69279244
BIO,91.49131
BOB,486.5004
BTR,44.48399
CC,25.0
CCD,1302.4
CLV,1380.0
CRV,5.0
DRV,257.77055
FLOW,3328.7025184986
FLOW14.S,163.629742832
H,186.29879
HBAR,51.22403
HUMANITY,186.29879
HYPE,2.0449725
KAS,624.28558
KAVA,0.02068917
KAVA21.S,89.86184541
LIT,59.38242
MANA,56.75741
MANTRA,250.66
MERL,376.30355
MET,25.123
MYX,42.31718
NIGHT,311.2719
PI,11.395
QNT,1.0
RAIN,527.8
SENT,230.0
SHX,103.14
SKR,45.2
SOL,3.64e-08
SOL03.S,0.0347965798
SPX,25.557
SUI,0.00027
SUI.B,40.0778
TAO,5.4e-07
TAO.B,1.12751676
TRAC,6.0
TRX,6.82e-06
TURBO,11026.493
TX,164.855
UAI,121.412
UNITAS,324.43
USDC,0.60430095
VELO,226.50057
XAUT,0.00098988
XBT.B,0.0002909321
XDC,1572.3138
XETH,1e-10
XPL,14.945
XXLM,45.25130715
XXMR,0.41211646
XXRP,19.36032086
ZAMA,173.6434
ZBCN,1474.491
ZRO,2.71592
ZUSD,2.607
