Asset,Quantity,Score,Recommendation,1Y_Return,Sharpe,Max_Drawdown,Relative_vs_BTC
ALGO,141.97695,27.98,REDUCE,-47.82,-0.37,-74.77,-6.29
ATOM,151.96530311,17.79,SELL,-60.13,-0.94,-70.97,-18.61
AVAX,1.2390582242,17.69,SELL,-60.74,-0.8,-83.3,-19.22
ADA,9.1e-07,13.09,SELL,-66.69,-1.0,-85.1,-25.16
ACU,17.15266,0.0,UNMAPPED,,,,
SUI,0.00027,0.0,UNMAPPED,,,,
TRX,6.82e-06,0.0,NO DATA,,,,
TRAC,6.0,0.0,UNMAPPED,,,,
TAO.B,1.12751676,0.0,UNMAPPED,,,,
TAO,5.4e-07,0.0,UNMAPPED,,,,
SUI.B,40.0778,0.0,UNMAPPED,,,,
SOL,3.64e-08,0.0,NO DATA,,,,
SPX,25.557,0.0,UNMAPPED,,,,
SOL03.S,0.0347965798,0.0,UNMAPPED,,,,
TX,164.855,0.0,UNMAPPED,,,,
SKR,45.2,0.0,UNMAPPED,,,,
SHX,103.14,0.0,UNMAPPED,,,,
SENT,230.0,0.0,UNMAPPED,,,,
TURBO,11026.493,0.0,UNMAPPED,,,,
UNITAS,324.43,0.0,UNMAPPED,,,,
UAI,121.412,0.0,UNMAPPED,,,,
QNT,1.0,0.0,NO DATA,,,,
USDC,0.60430095,0.0,NO DATA,,,,
VELO,226.50057,0.0,UNMAPPED,,,,
XAUT,0.00098988,0.0,NO DATA,,,,
XBT.B,0.0002909321,0.0,UNMAPPED,,,,
XDC,1572.3138,0.0,NO DATA,,,,
XETH,1e-10,0.0,UNMAPPED,,,,
XPL,14.945,0.0,UNMAPPED,,,,
XXLM,45.25130715,0.0,UNMAPPED,,,,
XXMR,0.41211646,0.0,UNMAPPED,,,,
XXRP,19.36032086,0.0,UNMAPPED,,,,
ZAMA,173.6434,0.0,UNMAPPED,,,,
ZBCN,1474.491,0.0,UNMAPPED,,,,
ZRO,2.71592,0.0,NO DATA,,,,
RAIN,527.8,0.0,UNMAPPED,,,,
MYX,42.31718,0.0,UNMAPPED,,,,
PI,11.395,0.0,UNMAPPED,,,,
NIGHT,311.2719,0.0,UNMAPPED,,,,
ADA.S,46.41471054,0.0,UNMAPPED,,,,
ADI,3.87174,0.0,UNMAPPED,,,,
ASTER,33.4239,0.0,UNMAPPED,,,,
ATOM21.S,11.04921112,0.0,UNMAPPED,,,,
AZTEC,230.24,0.0,UNMAPPED,,,,
BABY,31.58275,0.0,UNMAPPED,,,,
BAND,19.69279244,0.0,NO DATA,,,,
BIO,91.49131,0.0,UNMAPPED,,,,
BOB,486.5004,0.0,UNMAPPED,,,,
BTR,44.48399,0.0,UNMAPPED,,,,
CC,25.0,0.0,UNMAPPED,,,,
CCD,1302.4,0.0,UNMAPPED,,,,
CLV,1380.0,0.0,UNMAPPED,,,,
CRV,5.0,0.0,NO DATA,,,,
DRV,257.77055,0.0,UNMAPPED,,,,
FLOW,3328.7025184986,0.0,NO DATA,,,,
FLOW14.S,163.629742832,0.0,UNMAPPED,,,,
H,186.29879,0.0,UNMAPPED,,,,
HBAR,51.22403,0.0,NO DATA,,,,
HUMANITY,186.29879,0.0,UNMAPPED,,,,
HYPE,2.0449725,0.0,UNMAPPED,,,,
KAS,624.28558,0.0,NO DATA,,,,
KAVA,0.02068917,0.0,NO DATA,,,,
KAVA21.S,89.86184541,0.0,UNMAPPED,,,,
LIT,59.38242,0.0,NO DATA,,,,
MANA,56.75741,0.0,NO DATA,,,,
MANTRA,250.66,0.0,UNMAPPED,,,,
MERL,376.30355,0.0,UNMAPPED,,,,
MET,25.123,0.0,UNMAPPED,,,,
ZUSD,2.607,0.0,UNMAPPED,,,,
