Asset,Normalized,Score,Recommendation,Quantity,1Y_Return,Sharpe,Max_Drawdown,Relative_vs_BTC
ALGO,ALGO,35.16,REDUCE,141.97695,-47.85,-0.37,-74.77,-6.31
ATOM,ATOM,27.14,REDUCE,151.96530311,-60.16,-0.94,-70.97,-18.62
ATOM21.S,ATOM,27.14,REDUCE,11.04921112,-60.16,-0.94,-70.97,-18.62
ADA.S,ADA,24.05,SELL,46.41471054,-66.54,-1.0,-85.1,-25.0
ADA,ADA,24.05,SELL,9.1e-07,-66.54,-1.0,-85.1,-25.0
ACU,ACU,0.0,UNMAPPED,,,,,
SUI,SUI,0.0,NO DATA,,,,,
TRX,TRX,0.0,NO DATA,,,,,
TRAC,TRAC,0.0,UNMAPPED,,,,,
TAO.B,TAO,0.0,NO DATA,,,,,
TAO,TAO,0.0,NO DATA,,,,,
SUI.B,SUI,0.0,NO DATA,,,,,
SOL,SOL,0.0,NO DATA,,,,,
SPX,SPX,0.0,UNMAPPED,,,,,
SOL03.S,SOL,0.0,NO DATA,,,,,
TX,TX,0.0,UNMAPPED,,,,,
SKR,SKR,0.0,UNMAPPED,,,,,
SHX,SHX,0.0,UNMAPPED,,,,,
SENT,SENT,0.0,UNMAPPED,,,,,
TURBO,TURBO,0.0,UNMAPPED,,,,,
USDC,USDC,0.0,NO DATA,,,,,
UAI,UAI,0.0,UNMAPPED,,,,,
UNITAS,UNITAS,0.0,UNMAPPED,,,,,
QNT,QNT,0.0,NO DATA,,,,,
VELO,VELO,0.0,UNMAPPED,,,,,
XAUT,XAUT,0.0,NO DATA,,,,,
XBT.B,BTC,0.0,UNMAPPED,,,,,
XDC,XDC,0.0,NO DATA,,,,,
XETH,ETH,0.0,UNMAPPED,,,,,
XPL,XPL,0.0,UNMAPPED,,,,,
XXLM,XLM,0.0,NO DATA,,,,,
XXMR,XMR,0.0,NO DATA,,,,,
XXRP,XRP,0.0,NO DATA,,,,,
ZAMA,ZAMA,0.0,UNMAPPED,,,,,
ZBCN,ZBCN,0.0,UNMAPPED,,,,,
ZRO,ZRO,0.0,NO DATA,,,,,
RAIN,RAIN,0.0,UNMAPPED,,,,,
MYX,MYX,0.0,UNMAPPED,,,,,
PI,PI,0.0,UNMAPPED,,,,,
DRV,DRV,0.0,UNMAPPED,,,,,
ADI,ADI,0.0,UNMAPPED,,,,,
ASTER,ASTER,0.0,UNMAPPED,,,,,
AVAX,AVAX,0.0,NO DATA,,,,,
AZTEC,AZTEC,0.0,UNMAPPED,,,,,
BABY,BABY,0.0,UNMAPPED,,,,,
BAND,BAND,0.0,NO DATA,,,,,
BIO,BIO,0.0,UNMAPPED,,,,,
BOB,BOB,0.0,UNMAPPED,,,,,
BTR,BTR,0.0,UNMAPPED,,,,,
CC,CC,0.0,UNMAPPED,,,,,
CCD,CCD,0.0,UNMAPPED,,,,,
CLV,CLV,0.0,UNMAPPED,,,,,
CRV,CRV,0.0,NO DATA,,,,,
FLOW,FLOW,0.0,NO DATA,,,,,
NIGHT,NIGHT,0.0,UNMAPPED,,,,,
FLOW14.S,FLOW,0.0,NO DATA,,,,,
H,H,0.0,UNMAPPED,,,,,
HBAR,HBAR,0.0,NO DATA,,,,,
HUMANITY,HUMANITY,0.0,UNMAPPED,,,,,
HYPE,HYPE,0.0,UNMAPPED,,,,,
KAS,KAS,0.0,NO DATA,,,,,
KAVA,KAVA,0.0,NO DATA,,,,,
KAVA21.S,KAVA,0.0,NO DATA,,,,,
LIT,LIT,0.0,NO DATA,,,,,
MANA,MANA,0.0,NO DATA,,,,,
MANTRA,MANTRA,0.0,UNMAPPED,,,,,
MERL,MERL,0.0,UNMAPPED,,,,,
MET,MET,0.0,UNMAPPED,,,,,
ZUSD,ZUSD,0.0,UNMAPPED,,,,,
